IdOrder,Date,Country,Units,Revenue,Customer
190,2019-02-24,USA,366,28641.21,Blue Sun Corporation
191,2019-02-14,Panama,128,4223.28,Dunder Mifflin
192,2019-02-26,Canada,110,1101.63,BiffCo
193,2019-02-13,Panama,166,10996.77,Cyberdyne Systems
194,2019-02-20,Colombia,91,104.93,Dunder Mifflin
195,2019-02-20,USA,79,415.15,Massive Dynamic
196,2019-02-12,Panama,120,2573.1,LexCorp
197,2019-02-06,Panama,255,3503.12,Spacely Sprockets
198,2019-02-24,Panama,296,25186.77,Encom
199,2019-02-26,Canada,21,130.46,Rich Industries
200,2019-02-09,Panama,37,76.3,Monarch Solutions
201,2019-02-28,USA,289,7745.06,BiffCo
202,2019-02-10,Colombia,51,1228.12,Abstergo Industries
203,2019-02-08,Canada,237,6002.88,Kobra International
204,2019-02-23,Canada,208,4504.38,Octan Corporation
205,2019-02-20,Panama,80,735.83,Octan Corporation
206,2019-02-02,Brazil,381,6692.52,Wonka Industries
207,2019-02-28,USA,254,6054.71,Abstergo Industries
208,2019-02-10,Colombia,29,2248.79,LexCorp
209,2019-02-14,Panama,326,13575.81,Nordic Ventures
210,2019-02-17,Panama,226,1642.04,Delos Incorporated
211,2019-02-10,Colombia,88,2415.0,Yoyodyne Propulsion Systems
212,2019-02-18,Panama,390,20638.97,Virtucon
213,2019-02-07,Brazil,103,6308.1,Monarch Solutions
214,2019-02-06,USA,241,10425.34,OCP
215,2019-02-28,USA,65,2276.11,Hexagon Global
216,2019-02-23,Brazil,135,4131.3,Vandelay Industries
217,2019-02-13,Brazil,95,34.18,Oscorp
218,2019-02-10,USA,239,3979.87,Wayne Enterprises
219,2019-02-20,Panama,76,1556.8,Stark Industries
220,2019-02-01,Canada,142,3115.47,Nakatomi Trading
221,2019-02-19,Colombia,195,2883.18,Wayne Enterprises
222,2019-02-18,USA,204,558.77,Gekko & Co.
223,2019-02-08,Colombia,329,501.65,Octan Corporation
224,2019-02-16,Canada,351,621.69,Oscorp
225,2019-02-27,USA,149,3777.24,Hyperion Systems
226,2019-02-22,Panama,146,3572.29,BiffCo
227,2019-02-16,Colombia,341,11890.35,Octan Corporation
228,2019-02-25,Colombia,241,9586.53,Tyrell Corporation
229,2019-02-10,Panama,191,571.71,Rich Industries
230,2019-02-09,Canada,212,9476.49,BiffCo
231,2019-02-09,USA,189,1463.32,OCP
232,2019-02-01,Canada,335,9670.45,Cyberdyne Systems
233,2019-02-03,USA,101,6986.96,Gringotts Bank
234,2019-02-13,USA,73,5744.83,Vandelay Industries
235,2019-02-02,Colombia,109,3319.6,Acme Corp
236,2019-02-02,USA,354,17818.46,Nakatomi Trading
237,2019-02-24,Panama,310,9745.73,Cyberdyne Systems
238,2019-02-16,Canada,251,1715.1,Hexagon Global
239,2019-02-03,Brazil,156,8284.57,Rich Industries
240,2019-02-28,USA,330,2995.66,MomCorp
241,2019-02-14,Brazil,286,14348.36,Monarch Solutions
242,2019-02-10,Brazil,244,14009.41,Blue Sun Corporation
243,2019-02-16,Canada,155,9087.0,BiffCo
244,2019-02-02,Brazil,220,11244.83,Cyberdyne Systems
245,2019-02-26,Canada,161,634.36,Oscorp
246,2019-02-12,Panama,223,1128.37,ZikZak Corporation
247,2019-02-04,Canada,344,23895.26,ZikZak Corporation
248,2019-02-27,Colombia,256,966.5,LexCorp
