IdOrder,Date,Country,Units,Revenue,Customer
1,2019-01-08,USA,343,15461.36,Octan Corporation
2,2019-01-04,Panama,93,4681.26,Rich Industries
3,2019-01-07,Panama,42,2220.36,Blue Sun Corporation
4,2019-01-16,Brazil,103,1853.78,Hexagon Global
5,2019-01-17,USA,28,286.3,Octan Corporation
6,2019-01-24,Canada,372,24826.98,Spacely Sprockets
7,2019-01-26,Canada,61,1592.42,BiffCo
8,2019-01-28,Canada,264,3228.11,Delos Incorporated
9,2019-01-13,Canada,27,257.97,Monarch Solutions
10,2019-01-28,Brazil,323,3024.25,Hooli
11,2019-01-27,Canada,187,4046.31,Yoyodyne Propulsion Systems
12,2019-01-25,USA,56,1650.34,BiffCo
13,2019-01-15,Colombia,201,2995.88,BiffCo
14,2019-01-19,Colombia,142,2383.66,OCP
15,2019-01-04,Brazil,271,1726.7,Acme Corp
16,2019-01-19,Panama,288,4532.62,Nakatomi Trading
17,2019-01-15,Colombia,392,16229.64,Cyberdyne Systems
18,2019-01-30,Colombia,60,1250.79,Abstergo Industries
19,2019-01-20,USA,296,391.86,Nakatomi Trading
20,2019-01-03,Brazil,377,30840.25,Virtucon
21,2019-01-11,Colombia,175,7841.01,BiffCo
22,2019-01-05,USA,279,12881.19,Wayne Enterprises
23,2019-01-23,USA,165,8996.57,Dunder Mifflin
24,2019-01-07,Canada,306,4131.21,Hyperion Systems
25,2019-01-27,Canada,141,9419.58,Initech
26,2019-01-24,Panama,214,998.75,Encom
27,2019-01-27,USA,264,23353.44,Octan Corporation
28,2019-01-13,Brazil,274,1783.08,Globex Corporation
29,2019-01-05,Canada,289,5758.91,Soylent Corp
30,2019-01-17,USA,298,14543.85,BiffCo
31,2019-01-11,Colombia,239,3794.66,LexCorp
32,2019-01-12,Colombia,175,5058.76,Soylent Corp
33,2019-01-06,USA,47,1234.82,Monarch Solutions
34,2019-01-08,Canada,220,13798.08,Tyrell Corporation
35,2019-01-15,USA,36,1181.46,BiffCo
36,2019-01-20,Canada,210,10027.93,Oscorp
37,2019-01-05,Panama,15,159.28,Nordic Ventures
38,2019-01-27,Canada,389,10312.46,Vandelay Industries
39,2019-01-23,Brazil,85,917.27,Nakatomi Trading
40,2019-01-25,Canada,371,20234.08,Abstergo Industries
41,2019-01-21,USA,291,9371.43,Vought International
42,2019-01-11,Panama,208,6117.4,Oscorp
43,2019-01-25,Canada,15,311.34,Tyrell Corporation
44,2019-01-08,USA,322,15965.02,Stark Industries
45,2019-01-08,Canada,73,745.44,Vandelay Industries
46,2019-01-13,Colombia,392,6784.39,ZikZak Corporation
47,2019-01-23,Colombia,300,9966.59,Tyrell Corporation
48,2019-01-23,Colombia,364,20913.82,Kobra International
49,2019-01-30,Canada,336,4044.39,Hexagon Global
50,2019-01-11,Canada,259,8694.91,Vandelay Industries
51,2019-01-18,Canada,359,21394.85,ZikZak Corporation
52,2019-01-01,Brazil,86,1264.87,Hyperion Systems
53,2019-01-17,Canada,47,947.45,Vought International
54,2019-01-20,Panama,137,5174.79,Dunder Mifflin
55,2019-01-01,Panama,293,73.34,Monarch Solutions
56,2019-01-15,USA,54,526.36,Oscorp
